"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source","EID"
"Bartoletti M.; Schifanella C.; Vitaletti A.","Bartoletti, Massimo (9536042900); Schifanella, Claudio (55990754900); Vitaletti, Andrea (6506463530)","9536042900; 55990754900; 6506463530","Preface","2024","CEUR Workshop Proceedings","3791","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207841356&partnerID=40&md5=91829c38e6eb53ebae1aea14f6f4ba1d","[No abstract available]","","","Editorial","","Scopus","2-s2.0-85207841356"
"Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","57207940361; 6603249368; 6506463530; 57215119316","Binding of Endpoints to Identifiers by On-Chain Proofs","2020","Proceedings - IEEE Symposium on Computers and Communications","2020-July","","9219594","","","","6","10.1109/ISCC50000.2020.9219594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092062904&doi=10.1109%2fISCC50000.2020.9219594&partnerID=40&md5=cec452e89f5044fa60bc0ce87e7cef0a","In many applications, identity management (IdM) is used to associate a subject public key with an endpoint at which the subject can be contacted (telephone number, email, etc.). In decentralized applications based on blockchains, it is desirable for the IdM to be decentralized as well. In certain applications, it is paramount to be certain that an endpoint actually belong to a specific subject. Currently, when this is needed, endpoints are either verified by who needs it, which is impractical in blockchain-based applications, or by a centralized authority, which contrasts with the spirit of the blockchain.In this paper, we show two layer-two blockchain-based protocols to prove the association between a subject and an endpoint in a decentralized manner. Our protocols are compatible with a wide variety of endpoints and contribute to fill the gap of the current self sovereign IdM approaches with respect to decentralization. We analyze the security of our proposals and evaluate performances and costs against the common approaches. © 2020 IEEE.","","Communication; Identity management; Public keys; Telephone numbers; Two-layer; Blockchain","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-85092062904"
"Angeletti F.; Chatzigiannakis I.; Vitaletti A.","Angeletti, Fabio (57200441264); Chatzigiannakis, Ioannis (6602645904); Vitaletti, Andrea (6506463530)","57200441264; 6602645904; 6506463530","The role of blockchain and IoT in recruiting participants for digital clinical trials","2017","2017 25th International Conference on Software, Telecommunications and Computer Networks, SoftCOM 2017","","","8115590","","","","69","10.23919/SOFTCOM.2017.8115590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041293760&doi=10.23919%2fSOFTCOM.2017.8115590&partnerID=40&md5=0703189f5d0416a98032205ae4b48edc","Our personal data is now more valuable than ever. The uncontrolled growth of internet-centered services has led us to accept many compromises about how we share it. In the era of Internet of Things, personal data is collected continuously. Now, more than ever, we are in need of privacy-preserving applications where users always retain control of their personal data. In this paper, we present a secure way to control the flow of personal data in the specific case of the recruitment of participants for clinical trials. We take special care to protect the interests of both parties: the individual can keep its data private until an agreement is reached, and the Clinical Research Institute can be assured that it is acquiring useful and authentic data. We provide a proof-of-concept implementation and study its performance based on a real-world evaluation. © 2017 University of Split, FESB.","Blockchain; Clinical Trial; IoT; mHealth; Privacy","Blockchain; Clinical research; Data privacy; Health care; Medical applications; mHealth; Clinical trial; ITS data; Performance based; Privacy preserving; Proof of concept; Real-world evaluation; Research institutes; Internet of things","Conference paper","","Scopus","2-s2.0-85041293760"
"Amaxilatis D.; Chatzigiannakis I.; Mavrommati I.; Vasileiou E.; Vitaletti A.","Amaxilatis, Dimitrios (55488710900); Chatzigiannakis, Ioannis (6602645904); Mavrommati, Irene (55884764200); Vasileiou, Evdoxia (57196411073); Vitaletti, Andrea (6506463530)","55488710900; 6602645904; 55884764200; 57196411073; 6506463530","Delivering elder-care environments utilizing TV-channel based mechanisms","2017","Journal of Ambient Intelligence and Smart Environments","9","6","","783","798","15","5","10.3233/AIS-170457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032899043&doi=10.3233%2fAIS-170457&partnerID=40&md5=8ff3490263494f1f457e97c56b8350b7","In this paper, we present a smart environment for elderly. What makes the development of such system challenging is that the concept of smartness for elderly brings to the extreme the idea of invisibility of the technology. In our experience, elders are well-disposed to new technologies, provided that those will not require significant changes - namely, they are invisible - to their habits. Starting from this consideration, 200 caregivers responses were collected by questionnaire, so as to better understand elders' needs and habits. A system was subsequently developed allowing elders to access a number of ""modern web services"" as standard TV channels: at channel 43 there is the health status, at channel 45 the photos of the family, at 46 the agenda of the week, just to mention few of the available services. The content of such services is automatically generated by the smart devices in the environment and is managed by the caregivers (e.g., family members) by simple web apps. Fourteen families were asked to install the system in their house. The results of these experiments confirm that the proposed system is considered effective and user-friendly by elders. © 2017 - IOS Press and the authors. All rights reserved.","ambient assisted living; elder care; Internet of things","Assisted living; Internet of things; Ambient assisted living; Automatically generated; Elder care; Health status; Smart devices; Smart environment; TV channels; User friendly; Web services","Article","All Open Access; Green Open Access","Scopus","2-s2.0-85032899043"
"Della Monica P.; Fedeli M.; Salonico C.; Vitaletti A.; Zecchini M.","Della Monica, Pierpaolo (59509769000); Fedeli, Matteo (59509628900); Salonico, Cristina (59509086400); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","59509769000; 59509628900; 59509086400; 6506463530; 57215119316","Enabling efficient verification in a DApp: The case of copyright management","2025","Blockchain: Research and Applications","6","1","100234","","","","0","10.1016/j.bcra.2024.100234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214709467&doi=10.1016%2fj.bcra.2024.100234&partnerID=40&md5=03df4cabddb02fc9f077565c0b98029d","The Interested Party Information (IPI) system uniquely identifies the rights holders worldwide, making it possible to know for each subject and at any time which rights are protected, by whom and for which territories. Currently, this service is provided in a centralized way but in 2021, the Italian Society of Authors and Editors (SIAE) deployed a blockchain-based solution to completely decentralize this database to (a) provide greater guarantees to the rights holders as well as end users and (b) make a first tangible step in the path towards an all in-chain solution decentralizing a relevant component of the current architecture. This solution relied on early versions of Algorand smart contracts, delegating some off-chain verification to trusted third parties in many practical scenarios. Moreover, the Algorand technology has developed new tools, allowing us to design new techniques to reduce some of the trust assumptions of the original solution and enhance its efficiency at the same time. In this paper, we present the evolution of the solutions we designed to issue new on-chain non-conflicting rights representations, namely representations that are consistent with those already available on-chain. Our solution relies on smart contracts that have been implemented to run our experiments to prove (a) the feasibility of the proposed approach, (b) the scalability of the proposed solutions, and (c) the sustainability in terms of costs. © 2024 The Author(s)","Blockchain scalability; Copyright management; Decentralized app; Real-world application","Blockchain; Decentralized finance; Scalability; Block-chain; Blockchain scalability; Centralised; Copyright management; Decentralised; Decentralized app; End-users; Real-world; Real-world application; Relevant components; Smart contract","Article","All Open Access; Gold Open Access","Scopus","2-s2.0-85214709467"
"Amendola D.; De Rango F.; Massri K.; Vitaletti A.","Amendola, Danilo (56027539300); De Rango, Floriano (35588545300); Massri, Khalil (16031503700); Vitaletti, Andrea (6506463530)","56027539300; 35588545300; 16031503700; 6506463530","Efficient neighbor discovery in RFID based devices over resource-constrained DTN networks","2014","2014 IEEE International Conference on Communications, ICC 2014","","","6883920","3842","3847","5","15","10.1109/ICC.2014.6883920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906991548&doi=10.1109%2fICC.2014.6883920&partnerID=40&md5=3e6140ea1b93c2b10b522e9975f1d311","In this paper we consider Delay Tolerant Network (DTN) as a technology to implement a future network in a People Centric Networking paradigm, using Active RFID carried by people that exchange information with each other. We propose a novel and real Neighbor Discovery (ND) phase on active RFID based DTN using Open Beacon devices. In particular, we propose a solution using the Sift distribution on a probabilistic persistent approach called Sift-Persistent. We simulated P-Persistent, Aloha and our solution using our customized Java simulator. We implemented Sift-Persistent and P-Persistent on Open-Beacon devices, comparing the simulation results and test-beds. Moreover, simulations and real testbed show a coherent behavior validating our proposal in the RFID context. Performance evaluations have been tested in terms of discovered neighbors. © 2014 IEEE.","Ad Hoc; DTN; IoT; Neighbour Discovery; RFID","Computer software; Probability distributions; Radio frequency identification (RFID); Ad Hoc; DTN; Future networks; IoT; Java simulators; Neighbor discovery; Neighbour Discovery; P-persistent; Delay tolerant networks","Conference paper","","Scopus","2-s2.0-84906991548"
"Chatterjee S.K.; Ghosh S.; Das S.; Manzella V.; Vitaletti A.; Masi E.; Santopolo L.; Mancuso S.; Maharatna K.","Chatterjee, Shre Kumar (56132450800); Ghosh, Sanmitra (57216941429); Das, Saptarshi (57193720393); Manzella, Veronica (6508367845); Vitaletti, Andrea (6506463530); Masi, Elisa (6601957656); Santopolo, Luisa (39762718500); Mancuso, Stefano (7202038064); Maharatna, Koushik (55904125700)","56132450800; 57216941429; 57193720393; 6508367845; 6506463530; 6601957656; 39762718500; 7202038064; 55904125700","Forward and inverse modelling approaches for prediction of light stimulus from electrophysiological response in plants","2014","Measurement: Journal of the International Measurement Confederation","53","","","101","116","15","46","10.1016/j.measurement.2014.03.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899409135&doi=10.1016%2fj.measurement.2014.03.040&partnerID=40&md5=bda3518ea8e123ff07712dcc25a6db64","In this paper, system identification approach has been adopted to develop a novel dynamical model for describing the relationship between light as an environmental stimulus and the electrical response as the measured output for a bay leaf (Laurus nobilis) plant. More specifically, the target is to predict the characteristics of the input light stimulus (in terms of on-off timing, duration and intensity) from the measured electrical response-leading to an inverse problem. We explored two major classes of system estimators to develop dynamical models-linear and nonlinear-and their several variants for establishing a forward and also an inverse relationship between the light stimulus and plant electrical response. The best class of models are given by the Nonlinear Hammerstein-Wiener (NLHW) estimator showing good data fitting results over other linear and nonlinear estimators in a statistical sense. Consequently, a few set of models using different functional variants of NLHW has been developed and their accuracy in detecting the on-off timing and intensity of the input light stimulus are compared for 19 independent plant datasets (including 2 additional species viz. Zamioculcas zamiifolia and Cucumis sativus) under similar experimental scenario. © 2014 Elsevier B.V. All rights reserved.","Dynamical modelling; Environment prediction; Inverse model; Plant electrical signal; Statistical estimators; System identification","Electrophysiology; Forecasting; Identification (control systems); Predictive analytics; Religious buildings; Electrophysiological response; Environment predictions; Environmental stimuli; Inverse modeling; Inverse relationship; Nonlinear estimator; Plant electrical signals; Statistical estimators; Inverse problems","Article","All Open Access; Green Open Access","Scopus","2-s2.0-84899409135"
"Vitaletti A.","Vitaletti, Andrea (6506463530)","6506463530","GENDE: GENetic DEsign: Best products evolve according to users feedback","2017","Lecture Notes in Electrical Engineering","413","","","101","110","9","2","10.1007/978-3-319-48511-9_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013083645&doi=10.1007%2f978-3-319-48511-9_9&partnerID=40&md5=3e0d4e14eac7e07f4ff25a7358cdd297","GENDE (http://www.gende.it) is a tool to allow designers, but also com- mon people, to automatically design new products that evolve according to the prin- ciples of Genetic Algorithms (GAs). The selection of the products that will actually take part to the evolutionary process, relies on crowdsourcing mechanisms: only the most appreciated products survive. In the era of 3D-printing, GENDE can pave the way to a completely new class of mass products in which personalization become intrinsic to the design process and is driven by common users rather than being con- fined in the later stages of production and in the hands of professional designers. While GENDE has been originally thought as an automatic design tool, its unique process that involves users from the beginning of the design, can also be used as a powerful marketing tool. © Springer International Publishing AG 2017.","Crowd sourcing; Genetic algorithms; Interactive design; Participatory design","3D printers; Design; Genetic algorithms; Automatic design tools; Evolutionary process; Genetic algorithm (GAs); Interactive design; Marketing tools; Participatory design; Personalizations; Professional designers; Product design","Book chapter","","Scopus","2-s2.0-85013083645"
"Santini S.; Ostermaier B.; Vitaletti A.","Santini, Silvia (35303602900); Ostermaier, Benedikt (19934187500); Vitaletti, Andrea (6506463530)","35303602900; 19934187500; 6506463530","First experiences using wireless sensor networks for noise pollution monitoring","2008","REALWSN 2008 - Proceedings of the 2008 Workshop on Real-World Wireless Sensor Networks","","","","61","65","4","103","10.1145/1435473.1435490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949113304&doi=10.1145%2f1435473.1435490&partnerID=40&md5=551b3c5cc31fd1ccfab78869aa31efa5","The assessment of environmental pollution levels is a complex and expensive task that public administration and often also private entities are willing or forced to take over. Focusing on the assessment of environmental noise pollution in urban areas, we provide qualitative considerations and experimental results to show the feasibility of wireless sensor networks to be used in this context. We present a prototype for the collection and logging of noise pollution data based on the Tmote invent prototyping platform., using which we performed indoor and outdoor noise pollution measurements. We build upon these first experimental results to depict the potentials and limits of currently available wireless sensor networks prototyping platforms to be used as noise pollution sensors. Furthermore, we present tinyLAB, a Matlab-based tool developed in the context of this work, which enables real-time acquisition, processing and visualization of data collected in wireless sensor networks. Copyright 2008 ACM.","Environmental monitoring; Noise pollution; Wireless sensor networks","Data visualization; Environmental engineering; Government data processing; Management; MATLAB; Monitoring; Noise pollution; Sensor networks; Environmental monitoring; Environmental noise pollutions; Environmental pollutions; Pollution monitoring; Pollution sensors; Prototyping platforms; Public administrations; Real-time acquisitions; Urban areas; Wireless sensor networks","Conference paper","","Scopus","2-s2.0-62949113304"
"Ringwald M.; Römer K.; Vitaletti A.","Ringwald, Matthias (23398638200); Römer, Kay (7006678889); Vitaletti, Andrea (6506463530)","23398638200; 7006678889; 6506463530","Passive inspection of sensor networks","2007","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","4549 LNCS","","","205","222","17","24","10.1007/978-3-540-73090-3_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38149072558&doi=10.1007%2f978-3-540-73090-3_14&partnerID=40&md5=14403e3524ec8412caa56582f434bff3","Deployment of sensor networks in real-world settings is a labor-intensive and cumbersome task: environmental influences often trigger problems that are difficult to track down due to limited visibility of the network state. In this paper we present a framework for passive inspection (i.e., no instrumentation of sensor nodes required) of deployed sensor networks and show how this framework can be used to inspect data gathering applications. The basic approach is to temporarily install a distributed network sniffer alongside the inspected sensor network, with overheard messages being analyzed by a data stream processor and network state being displayed in a graphical user interface. Our tool can be flexibly applied to different sensor network operating systems and protocol stacks, and can deal well with incomplete information. © Springer-Verlag Berlin Heidelberg 2007.","","Graphical user interfaces; Inspection; Interface states; Sensor networks; Sensor nodes; Data stream processor; Distributed networks; Environmental influences; Incomplete information; Labor intensive; Limited visibility; Network operating system; Real world setting; Distributed computer systems","Conference paper","","Scopus","2-s2.0-38149072558"
"Vitaletti A.; Chatzigiannakis I.; Malakuczi V.; Mavrommati I.","Vitaletti, Andrea (6506463530); Chatzigiannakis, Ioannis (6602645904); Malakuczi, Viktor (57195302120); Mavrommati, Irene (55884764200)","6506463530; 6602645904; 57195302120; 55884764200","A case of genetic algorithms supporting the design of collaboratively shaped, genetically evolving, products","2019","2019 1st International Conference on Societal Automation, SA 2019","","","8938097","","","","0","10.1109/SA47457.2019.8938097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079344252&doi=10.1109%2fSA47457.2019.8938097&partnerID=40&md5=c81aaa7d507a60f883a0a24c87a5bed1","Recently the role of makerspaces has been studied as a mean to promote citizen-driven innovation in the smart cities. In this paper we discuss the possibility of exploiting Genetic Algorithms, namely algorithms that mimic the mechanisms behind the evolution of live beings, for the implementation of a simple tool for the collaborative and participatory design of public art products that assume no technical background of the users thus better supporting the democratization of the design process. This concept has been initially tested in the context of artisan products during the Maker-Faire festival, likely the most celebrated event in makerspaces, with the main purpose of understanding the ability of the proposed process of actually engage citizens. This experiment has actively involved 369 participants, a number not negligible in experiments requiring the physical participation of users. Results from this trial suggest that this process actually leads, by evolution generation after generation, to the selection of a population of three dimensional products that are better appreciated by end users in average. Although the initial conclusions of this study, on the evolution of the products over the generations, cannot be generalized, the study does provide some initial valid feedback, as first steps of a discussion on the use of generative algorithms in art products. The generative algorithms creative process, as described further in this paper, can be seen as the basis for generative collective art in the context of smart cities, while these ideas have been initially tested in the area of 3d printing for product design. © 2019 IEEE.","Citizen-driven; Collective Art; Generative Design; Innovation","3D printers; Genetic algorithms; Smart city; Citizen-driven; Collective Art; Creative process; Design process; Generative algorithms; Generative design; Participatory design; Technical background; Product design","Conference paper","","Scopus","2-s2.0-85079344252"
"Das S.; Ajiwibawa B.J.; Chatterjee S.K.; Ghosh S.; Maharatna K.; Dasmahapatra S.; Vitaletti A.; Masi E.; Mancuso S.","Das, Saptarshi (57193720393); Ajiwibawa, Barry Juans (56809381300); Chatterjee, Shre Kumar (56132450800); Ghosh, Sanmitra (57216941429); Maharatna, Koushik (55904125700); Dasmahapatra, Srinandan (6602893076); Vitaletti, Andrea (6506463530); Masi, Elisa (6601957656); Mancuso, Stefano (7202038064)","57193720393; 56809381300; 56132450800; 57216941429; 55904125700; 6602893076; 6506463530; 6601957656; 7202038064","Drift removal in plant electrical signals via IIR filtering using wavelet energy","2015","Computers and Electronics in Agriculture","118","","","15","23","8","14","10.1016/j.compag.2015.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940397138&doi=10.1016%2fj.compag.2015.08.013&partnerID=40&md5=f4bca99002ed680a0e6251589cb5ee3f","Plant electrical signals often contains low frequency drifts with or without the application of external stimuli. Quantification of the randomness in plant signals in a stimulus-specific way is hindered because the knowledge of vital frequency information in the actual biological response is not known yet. Here we design an optimum Infinite Impulse Response (IIR) filter which removes the low frequency drifts and preserves the frequency spectrum corresponding to the random component of the unstimulated plant signals by bringing the bias due to unknown artifacts and drifts to a minimum. We use energy criteria of wavelet packet transform (WPT) for optimization based tuning of the IIR filter parameters. Such an optimum filter enforces that the energy distribution of the pre-stimulus parts in different experiments are almost overlapped but under different stimuli the distributions of the energy get changed. The reported research may popularize plant signal processing, as a separate field, besides other conventional bioelectrical signal processing paradigms. © 2015 Elsevier B.V.","IIR filter; Optimum filter design; Plant electrical signal processing; Wavelet packet energy","IIR filters; Impulse response; Packet networks; Bioelectrical signals; Energy distributions; Frequency information; Infinite impulse response; Optimum filter design; Plant electrical signals; Wavelet packet energies; Wavelet packet transform(WPT); artifact; data processing; electrical conductivity; energy efficiency; filter; quantitative analysis; wavelet; Signal processing","Article","All Open Access; Green Open Access","Scopus","2-s2.0-84940397138"
"Mastrogiovanni M.; Petrioli C.; Rossi M.; Vitaletti A.; Zorzi M.","Mastrogiovanni, Michele (8424331100); Petrioli, Chiara (6601979635); Rossi, Michele (35318599900); Vitaletti, Andrea (6506463530); Zorzi, Michele (7102431876)","8424331100; 6601979635; 35318599900; 6506463530; 7102431876","Integrated data delivery and interest dissemination techniques for wireless sensor networks","2006","GLOBECOM - IEEE Global Telecommunications Conference","","","4151635","","","","5","10.1109/GLOCOM.2006.1005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50949097381&doi=10.1109%2fGLOCOM.2006.1005&partnerID=40&md5=2a79d6852387d664c9a591989a72a6f9","The paper presents IRIS, an Integrated Routing and Interest dissemination System for wireless sensor networks. The proposed protocols are designed to work under very low duty cycle operations and are jointly optimized for improved efficiency. Routing towards the sink is achieved by exploiting hop count information which is proactively distributed during the interest dissemination phase. Node densities are locally and dynamically estimated at each node and exploited at the MAC layer by means of a cost based probabilistic scheme. A cross-layer routing/MAC scheme is defined where relays to the sink are selected based on nodes' resources (including energy and queue occupancy). The proposed solution is a step towards the definition of complete, self-adapting and autonomous sensor network systems. © 2006 IEEE.","","Distributed computer systems; Information dissemination; Network protocols; Network routing; Optimization; Probability; Hop count information; Integrated data delivery; Interest dissemination techniques; Node densities; Wireless sensor networks","Conference paper","","Scopus","2-s2.0-50949097381"
"Chatzigiannakis I.; Vitaletti A.; Pyrgelis A.","Chatzigiannakis, Ioannis (6602645904); Vitaletti, Andrea (6506463530); Pyrgelis, Apostolos (35811109700)","6602645904; 6506463530; 35811109700","A privacy-preserving smart parking system using an IoT elliptic curve based security platform","2016","Computer Communications","89-90","","","165","177","12","112","10.1016/j.comcom.2016.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979464854&doi=10.1016%2fj.comcom.2016.03.014&partnerID=40&md5=17e2e8e8f3f6c162f94b6e5ed9c36ded","Since the initial visions proposed in the SmartDust project fifteen years ago, Wireless Sensor Networks have seen a tremendous development, leading to the realization of the Internet of Things (IoT). Today, there is a large variety of hardware and software to choose from that is easy to set up and use. Even though there is an increasing number of real-world applications that employ large deployments of IoT devices, the wireless nature of communication in combination with the low-end capabilities of the devices raises security and privacy issues that have not been properly addressed. Considering also that sensor node brands are very different in their capabilities, providing a single solution is very challenging. In this paper we adopt Elliptic Curve Cryptography (ECC) as an attractive alternative to conventional public key cryptography, such as RSA. ECC is an ideal candidate for implementation on constrained devices where the major computational resources, i.e., speed, memory are limited and low-power wireless communication protocols are employed. That is because it attains the same security levels with traditional cryptosystems using smaller parameter sizes. We provide a generic implementation of ECC that runs on different host operating systems, such as Contiki, TinyOS, iSenseOS, ScatterWeb and Arduino. Furthermore, it runs on smartphone platforms such as Android and iPhone and also any linux based systems (e.g., raspberryPi). Our implementation does not contain any platform-specific specializations, allowing a single implementation to run natively on heterogeneous networks. We look into the Smart Parking application domain and provide a solution that protects the privacy of the users by totally avoiding the exchange of confidential information. We also show how to protect a user's privacy by adapting the tool of zero knowledge proofs (ZKP) with our ECC implementation. We study the performance of our system in an real-world outdoor IoT testbed and analyze the execution time and network overhead for each available hardware platform. Our code is available as open source software and can be used from developers who wish to achieve certain levels of security and privacy in their applications. © 2016 Elsevier B.V. All rights reserved.","Algorithm engineering; Performance evaluation; Privacy; Smart city; Wireless sensor networks","Application programs; Computer network performance evaluation; Computer operating systems; Cryptography; Data privacy; Geometry; Hardware; Open source software; Open systems; Public key cryptography; Reconfigurable hardware; Sensor nodes; Smartphones; Software engineering; Wireless sensor networks; Wireless telecommunication systems; Algorithm engineering; Confidential information; Elliptic Curve Cryptography(ECC); Internet of thing (IOT); Low-power wireless communications; Performance evaluation; Security and privacy issues; Smart cities; Internet of things","Article","","Scopus","2-s2.0-84979464854"
"Amico A.; Apicella V.; Bianchini D.; Butera A.; Cesana M.; Digregorio G.; Garda M.; Gatteschi V.; Innamorati C.; Leotta F.; Longari S.; Pizzo M.R.; Plebani P.; Romani N.; Tanca L.; Vitaletti A.; Zanero S.","Amico, Alberto (59641907500); Apicella, Vincenzo (59641346000); Bianchini, Devis (12647011000); Butera, Alberto (58337834500); Cesana, Matteo (6701602869); Digregorio, Gabriele (59251240200); Garda, Massimiliano (57204505292); Gatteschi, Valentina (37161268600); Innamorati, Corrado (59253067500); Leotta, Francesco (37118890600); Longari, Stefano (57212167947); Pizzo, Maria Rosa (59644154300); Plebani, Pierluigi (22734593000); Romani, Noemi (59390420700); Tanca, Letizia (57204257247); Vitaletti, Andrea (6506463530); Zanero, Stefano (6506494417)","59641907500; 59641346000; 12647011000; 58337834500; 6701602869; 59251240200; 57204505292; 37161268600; 59253067500; 37118890600; 57212167947; 59644154300; 22734593000; 59390420700; 57204257247; 6506463530; 6506494417","BOTQUAS: Blockchain-based Solutions for Trustworthy Data Sharing in Sustainable and Circular Economy","2024","Proceedings of the Euromicro Conference on Software Engineering and Advanced Applications, EUROMICRO-SEAA","","2024","","507","510","3","0","10.1109/SEAA64295.2024.00083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218627762&doi=10.1109%2fSEAA64295.2024.00083&partnerID=40&md5=be11ffb67abf70d4a88627ca513fffc2","Monitoring business processes within complex supply chains demands efficient data collection and analytics tailored to diverse phenomena. Traditional centralized solutions face limitations in adapting to the dynamic nature of supply chains. This calls for distributed solutions which break the usual architectural assumption to have a central entity in charge of collecting, integrating and offering tools for the analysis. This project, embedded in a larger initiative called MICS, proposes an inno-vative distributed monitoring solution integrating blockchain for a trustworthy and efficient data analytics strategy that preserves data sovereignty in complex collaborative environments. Leveraging the cloud -edge continuum, the solution aims to ensure secure data exchange, adherence to agreements, and real-time analytics. Expected outcomes include an innovative federated architecture, 5G slice management solutions, an adversarial analysis of supply chain security, and a proof-of-concept implementation of the blockchain-based data flow tracking system. These developments aim to enhance the reliability, security, and efficiency of supply chain monitoring in dynamic industrial environments. © 2024 IEEE.","Blockchain-based Solution; Federated Data Analytics; Supply Chain Monitoring; Trusted Data Sharing","Block-chain; Blockchain-based solution; Business Process; Circular economy; Data analytics; Data Sharing; Federated data analytic; Supply chain monitoring; Sustainable economy; Trusted data sharing","Conference paper","","Scopus","2-s2.0-85218627762"
"Vitaletti A.; Zecchini M.","Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","6506463530; 57215119316","A Tale on Decentralizing an App: the Case of Copyright Management","2023","CEUR Workshop Proceedings","3460","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171159793&partnerID=40&md5=e4c6887572379979c74bb94a8ce2be08","The Interested Party Information (IPI) system uniquely identifies the rights holders worldwide, making it possible to know for each subject and at any time which rights are protected, by whom and for which territories. Currently, this service is provided in a centralized way but, in 2021, Italian Society of Authors and Editors (SIAE) deployed a blockchain-based solution to completely decentralize this database to provide greater guarantees to the rights holders as well as to end users. With the development of the blockchain technology hosting this solution, Algorand, we can design techniques that reduce some trust assumptions of the solution developed by SIAE, enhancing at the same time its efficiency. In this paper, we show decentralized protocols to issue new on-chain rights representation consistently with the ledger's previous blocks, in particular, avoiding or discouraging to represent twice the same right. This makes rights holders autonomous in creating on-chain rights representations. © 2023 CEUR-WS. All rights reserved.","Blockchain Identity; Consistency Check; Copyright Management; Decentralized Applications","Copyrights; Distributed ledger; Block-chain; Blockchain identity; Can design; Centralised; Consistency checks; Copyright management; Decentralised; Decentralized application; Design technique; End-users; Blockchain","Conference paper","","Scopus","2-s2.0-85171159793"
"Tziortzioti C.; Mavrommati I.; Mylonas G.; Vitaletti A.; Chatzigiannakis I.","Tziortzioti, Chrysanthi (56111282000); Mavrommati, Irene (55884764200); Mylonas, Georgios (36846385500); Vitaletti, Andrea (6506463530); Chatzigiannakis, Ioannis (6602645904)","56111282000; 55884764200; 36846385500; 6506463530; 6602645904","Scenarios for Educational and Game Activities using Internet of Things Data","2018","IEEE Conference on Computatonal Intelligence and Games, CIG","2018-August","","8490370","","","","8","10.1109/CIG.2018.8490370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056833998&doi=10.1109%2fCIG.2018.8490370&partnerID=40&md5=57cd8da5d9f405f1acb4598db7ad507d","Raising awareness among young people and changing their behavior and habits concerning energy usage and the environment is key to achieving a sustainable planet. The goal to address the global climate problem requires informing the population on their roles in mitigation actions and adaptation of sustainable behaviors. Addressing climate change and achieve ambitious energy and climate targets requires a change in citizen behavior and consumption practices. IoT sensing and related scenario and practices, which address school children via discovery, gamification, and educational activities, are examined in this paper. Use of seawater sensors in STEM education, that has not previously been addressed, is included in these educational scenaria. © 2018 IEEE.","Behavioral change; Educational scenarios; IoT; STEM","Artificial intelligence; Behavioral research; Climate change; STEM (science, technology, engineering and mathematics); Behavioral changes; Climate targets; Educational activities; Educational scenarios; Gamification; Global climates; STEM education; Young peoples; Internet of things","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-85056833998"
